Name,Date,Location/City,State,Category,Distance,Website/Registration Link,Contact Email,Summary
St. Pat's Half Marathon,03/14/20,Rockaway Park,New York,running,13.1mi,https://www.active.com/rockaway-park-ny/running/distance-running-races/st-pat-s-half-marathon-2020?afid=156210&ltcmp=254301&ltclickid=12_47873492_cbda9079-5731-48c3-b6e7-b7d71cde8dec&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"Run starts at 9 am on the boardwalk at Beach 116th street Doors open 90 Mins before the race for number pick ups and bag check at 114-04 Beach Channel Drive Rockaway Park, NY 11694.All runners will receive a T-shirt and Medal"
St. Patrick's Day 4 Miler,03/14/20,Binghamton,New York,running,4mi,https://runsignup.com/Race/Register/?raceId=69049,ERRS.Rocks@gmail.com,"Over the past 4 years, the race has raised over $22,000 for the local food banks and the Shower for Hope Program. This year the net race proceeds will be used to continue support the SHOWERS FOR HOPE program. People who are homeless or don’t have access to showers will be able to take them, thanks to a group of volunteers and churches led by St. Patrick’s Church in Binghamton."
St. Patrick's Day Mad Mile,03/14/20,Utica,New York,running,1mi,https://runsignup.com/Race/Register/?raceId=57247,morgan@the-sneaker-store.com,"The Sneaker Store's Jessica Cooper St. Patrick's Day Mad Mile is the best way to kick of a great St. Patrick's Day! It's our 3rd Annual race this year, and it will be bigger and better! Bring your family, your friends, and your best Irish outfit, and get ready to dash down the Genesee Street parade route just ahead of the Utica St. Patrick's Day Parade."
STRC St. Patrick's Day 5K/10K,03/14/20,Pine City,New York,running,5km,https://runsignup.com/Race/Register/?raceId=42840,,We are going green! ONLINE REGISTRATION is our only option to help support Planet Earth.
STRC St. Patrick's Day 5K/10K,03/14/20,Pine City,New York,running,10km,https://runsignup.com/Race/Register/?raceId=42840,,We are going green! ONLINE REGISTRATION is our only option to help support Planet Earth.
St. Patrick's Day Races,03/15/20,Yorktown Heights,New York,running,10km,https://www.runner.org/schedule/,greg.cohen@runner.org,
St. Patrick's Day Races,03/15/20,Yorktown Heights,New York,running,2mi,https://www.runner.org/schedule/,greg.cohen@runner.org,
United Airlines NYC Half,03/15/20,New York,New York,running,13.1mi,https://www.nyrr.org/races/2020unitedairlinesnychalf,help@nyrr.org,"Runners will begin their journey in Prospect Park before taking the race onto Brooklyn’s streets. For the third year in a row, the course will take runners over the Manhattan Bridge and up the FDR Drive before a crosstown dash on 42nd Street and a turn north on 7th Avenue, through Times Square, and into Central Park. The route finishes just north of Tavern on the Green."
City Running Tours - America's Roots Running Tour,03/17/20,New York,New York,running,5mi,https://endurancecui.active.com/new/events/60949353/select-race?ltcmp=254301&regnow=awe-regnow&ltclickid=12_47874660_e6c6f0c2-912e-4db2-8f43-f9c4355ec839&_p=6158245103220701,runners@cityrunningtours.com,"Explore the roots of America through events that occurred in New York City from the time the city was an early Dutch Settlement, through British Rule, Revolution and the birth of a new Nation. You will see how immigration influenced and made up the very foundation of the city."
City Running Tours - Brooklyn Bridge Running Tour,03/20/20,New York,New York,running,5mi,https://endurancecui.active.com/new/events/61286053/select-race?e4p=0da9d339-9d93-4c11-890e-7a907e9d80ad&e4ts=1576601451&e4q=4be2ab91-d9b4-460a-8021-b21e6515e395&e4c=active&ltcmp=254301&e4e=snawe00000000&e4h=e32e057c9f00102455ac598fd3446677&regnow=awe-regnow&ltclickid=12_47904702_e1e785d7-7eaa-4e26-80de-bd1ef4d81ba1&e4rt=Safetynet&_p=02807680174981053,runners@cityrunningtours.com,"The Brooklyn Bridge is the most iconic landmark in all of New York. At any time of day The Bridge provides great views of Manhattan and Brooklyn and offers a look back at the origins of modern day New York City, when Manhattan and Brooklyn were still separate cities."
4 Leaf Clover 5K,03/21/20,East Moriches,New York,running,5km,https://runsignup.com/Race/Register/?raceId=43011,,"Come run this flat, scenic race with views overlooking Hart Cove in East Moriches. Stay after for our post-race awards ceremony."
Doc Lopez Run for Health,03/21/20,Elizabethtown,New York,running,13.1mi,https://runsignup.com/Race/NY/Elizabethtown/DocLopezRunforHealth,susieallott@gmail.com,"The Doc Lopez Half Marathon is for the hardy. This scenic, 13.1-mile course starts in the heart of the Adirondack Mountains and takes runners up Spruce Hill into Elizabethtown for an awards ceremony and banquet celebration."
Doc Lopez Run for Health,03/21/20,Elizabethtown,New York,running,1mi Walk,https://runsignup.com/Race/NY/Elizabethtown/DocLopezRunforHealth,susieallott@gmail.com,"The Doc Lopez Half Marathon is for the hardy. This scenic, 13.1-mile course starts in the heart of the Adirondack Mountains and takes runners up Spruce Hill into Elizabethtown for an awards ceremony and banquet celebration."
Doc Lopez Run for Health,03/21/20,Elizabethtown,New York,running,5km,https://runsignup.com/Race/NY/Elizabethtown/DocLopezRunforHealth,susieallott@gmail.com,"The Doc Lopez Half Marathon is for the hardy. This scenic, 13.1-mile course starts in the heart of the Adirondack Mountains and takes runners up Spruce Hill into Elizabethtown for an awards ceremony and banquet celebration."
Front Runners New York Indoor Track Meet,03/21/20,New York,New York,running,Track Meet,www.directathletics.com/meets/track/62964,trackmeet@frny.org,"Last year, FRNY hosted over 150 athletes of all ages and abilities—from high schoolers to masters athletes. We welcome all runners and strongly encourage you to participate."
Go for the Green 5K,03/21/20,Smithtown,New York,running,5km,https://events.elitefeats.com/march-2020-go-for-the-green-5k?fbclid=IwAR3WCaP1uVeD1T7iHJ9sYrHrn1s5idQATHfPvkAExdlTTl5qyPi83RYd-CY,,"Efforts like ""Go for the Green 5K"" allow the Rotary Club of Smithtown to contribute over $40,000 each year to community projects: All proceeds of the 5K go to Charities & Scholarships."
Go for the Green 5K - 1mi,03/21/20,Smithtown,New York,running,1mi,https://events.elitefeats.com/march-2020-go-for-the-green-5k?fbclid=IwAR3WCaP1uVeD1T7iHJ9sYrHrn1s5idQATHfPvkAExdlTTl5qyPi83RYd-CY,,"Efforts like ""Go for the Green 5K"" allow the Rotary Club of Smithtown to contribute over $40,000 each year to community projects: All proceeds of the 5K go to Charities & Scholarships."
Run for the Gold,03/21/20,Montgomery,New York,running,5km,https://runsignup.com/Race/Register/?raceId=40149,,"The Village of Montgomery will be hosting their seventh annual St. Patrick's Day Parade on Saturday, March 21, 2020. There will be a 5k race, raffles and a chance to win great prizes. There will be many chances to participate in the parade, and enjoy some great nights out leading up to it!"
Run for the Gold,03/21/20,Montgomery,New York,running,Kids Run,https://runsignup.com/Race/Register/?raceId=40149,,"The Village of Montgomery will be hosting their seventh annual St. Patrick's Day Parade on Saturday, March 21, 2020. There will be a 5k race, raffles and a chance to win great prizes. There will be many chances to participate in the parade, and enjoy some great nights out leading up to it!"
Sap Run 5K,03/21/20,Knox,New York,running,5km,http://www.saprun5k.org/,​HHAPublicity@gmail.com,Runners and Walkers of all ages and abilities are welcome
Fallen Comrades Half Marathon,03/22/20,West Point,New York,running,13.1mi,https://runsignup.com/Race/Register/?raceId=55144,FallenComradesRun@gmail.com,"This race is dedicated to those members of the Long Gray Line who have gone to war and paid the ultimate sacrifice. Each mile marker will memorialize different fallen comrades from all of our nation’s wars as a tribute. We honor them as individuals as we test ourselves on this challenging, beautiful course; we celebrate their memory as we build camaraderie through friendly competition."
Fallen Comrades Half Marathon,03/22/20,West Point,New York,running,1mi Kids,https://runsignup.com/Race/Register/?raceId=55144,FallenComradesRun@gmail.com,"This race is dedicated to those members of the Long Gray Line who have gone to war and paid the ultimate sacrifice. Each mile marker will memorialize different fallen comrades from all of our nation’s wars as a tribute. We honor them as individuals as we test ourselves on this challenging, beautiful course; we celebrate their memory as we build camaraderie through friendly competition."
Forks XV,03/22/20,Chenango Forks,New York,running,15km,https://runsignup.com/Race/Register/?raceId=2637&eventId=369224,triplecitiesrunnersclub@gmail.com,Get ready for the 47th Annual Forks XV; a certified 15K footrace set in the hills of Chenango Forks! Come out to race with fellow runners from the Binghamton Community and break out of your winter running funk.
Queens Marathon,03/22/20,Queens,New York,running,26.2mi,https://queensmarathon.org/register/,membership@qdrunners.org,"Organized annually every Spring, the Queens Marathon is a looped course which we fully use to our advantage to create an atmosphere where the runner and the spectator work together. Friends of Queens Distance, dozens of the New York City area running clubs, and the general public take a patch of the course and support participants throughout the course of the event."
Queens Half Marathon,03/22/20,Queens,New York,running,13.1mi,https://queensmarathon.org/register/,membership@qdrunners.org,"Organized annually every Spring, the Queens Marathon is a looped course which we fully use to our advantage to create an atmosphere where the runner and the spectator work together. Friends of Queens Distance, dozens of the New York City area running clubs, and the general public take a patch of the course and support participants throughout the course of the event."
Riverhead Rocks 10 Mile,03/22/20,Riverhead,New York,running,10mi,https://runsignup.com/Race/NY/Riverhead/RiverheadRocksRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,eventpower@aol.com.,Beautiful course through the pavement and dirt roads of Indian Island County Park. The race will start and finish along the waterfront in downtown Riverhead. Runners will run to Indian Island County Park and run two – 5k loops! Fast and flat!
City Running Tours - America's Roots Running Tour,03/24/20,New York,New York,running,5mi,https://endurancecui.active.com/new/events/60945752/select-race?e4p=95d9aa19-9f99-4216-b92e-189e1e9b017d&e4ts=1576639114&e4q=c6ea25b8-0cec-492c-8f77-5ceab3b510b7&e4c=active&e4e=snawe00000000&e4h=e265337aa427261b06db5c6334cb2ae7&regnow=awe-regnow&e4rt=Safetynet&_p=2596056095140369,runners@cityrunningtours.com,"Explore the roots of America through events that occurred in New York City from the time the city was an early Dutch Settlement, through British Rule, Revolution and the birth of a new Nation. You will see how immigration influenced and made up the very foundation of the city"
City Running Tours - Brooklyn Bridge Running Tour,03/27/20,New York,New York,running,4.3mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-brooklyn-bridge-running-tour-2020-61026401?afid=156210&ltcmp=254301&ltclickid=12_48274404_ba5c0c44-e92a-4e26-9475-57b20b4096d9&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,runners@cityrunningtours.com,"The Brooklyn Bridge is the most iconic landmark in all of New York. At any time of day The Bridge provides great views of Manhattan and Brooklyn and offers a look back at the origins of modern day New York City, when Manhattan and Brooklyn were still separate cities."
Aspire 10K,03/28/20,Plainview,New York,running,10km,https://runsignup.com/Race/Register/?raceId=42765,info@glirc.org,USATF Certified 10K (6.2 miles) through suburban streets and rolling countryside. Nassau County Police traffic control. Splits every mile and recorded 5K time.
Aspire 10K,03/28/20,Plainview,New York,running,Kids Run,https://runsignup.com/Race/Register/?raceId=42765,info@glirc.org,USATF Certified 10K (6.2 miles) through suburban streets and rolling countryside. Nassau County Police traffic control. Splits every mile and recorded 5K time.
Ice Breaker Challenge 5K,03/28/20,Albany,New York,running,5km,https://runsignup.com/Race/Register/?raceId=28146,info@albanyrowingcenter.org,The Ice Breaker Challenge is a one of a kind Capital District running/walking road race challenging runners and walkers against rowers from the Albany Rowing Center. Runners/walkers will travel along the Corning Preserve Bicycle Path while rowers from the Albany Rowing Center will race along side in shells on the Hudson River.
Ice Breaker Challenge 5K,03/28/20,Albany,New York,running,Kids Run,https://runsignup.com/Race/Register/?raceId=28146,info@albanyrowingcenter.org,The Ice Breaker Challenge is a one of a kind Capital District running/walking road race challenging runners and walkers against rowers from the Albany Rowing Center. Runners/walkers will travel along the Corning Preserve Bicycle Path while rowers from the Albany Rowing Center will race along side in shells on the Hudson River.
Mustache March 5K,03/28/20,Kenmore,New York,running,5km,http://mustachemarch5k.com/,mail@villageofkenmore.com,"The Mustache March 5K is a footrace and walk along the scenic streets of charming Kenmore, New York. The race is a fast USATF certified and sanctioned course suitable for runners and walkers of most abilities."
Run for DeJoy of It 5K,03/28/20,Pittsford,New York,running,5km,https://runsignup.com/Race/Register/?raceId=84548&eventId=368240,,"This is a fun/run walk open to all. The race is dedicated to Coach Jason DeJoy, former Pittsford Mendon coach. The race course is a slightly hilly, but fun course. No race entry fee requested, but t-shirts are available for reservation. Donations are accepted via the website, and are greatly appreciated. All donations will go to the Epilepsy Foundation."
Sleepy Hollow Half Marathon,03/28/20,Sleepy Hollow,New York,running,13.1mi,https://www.athlinks.com/event/sleepy-hollow-half-marathon-2020-12518,tr.rivertownrunners@gmail.com,Looking for a change of pace? The Sleepy Hollow Half Marathon has the best of fun and scenery. It is the perfect event if you enjoy running for fun or are gearing up for a spring marathon! If you are Boston Bound – Better run here first!!
UAE Healthy Kidney 10K,03/28/20,New York,New York,running,10km,https://www.nyrr.org/races/uaehealthykidney10k,help@nyrr.org,"Join NYRR and the Embassy of the United Arab Emirates to celebrate the 16th annual UAE Healthy Kidney 10K. The event offers something for everyone—thrilling performances in Central Park from some of the world's top athletes, a fast course for runners chasing PRs, a great cause to inspire everyone, finisher medals, excellent giveaways, including a technical shirt for every registered entrant, and a fantastic prize drawing."
Falcon 5K,03/29/20,Congers,New York,running,5km,https://runsignup.com/Race/Register/?raceId=55456&eventId=366871,,We cordially invite you to join us at the 3rd Annual Albertus Magnus Falcon 5K! This event will raise money to benefit the Albertus Magnus Girls and Boys Track and Cross Country teams.
FLRC Indoor Track Meet,03/29/20,Ithaca,New York,running,Track Meet,https://www.directathletics.com/meets/track/63565.html,ace@tidbits.com,"Looking for a break from the cold, wet, lonely days of winter running? Come run FLRC’s winter track meets at Cornell University’s Barton Hall, where it’s always warm and dry, and where you can test your fitness on Cornell’s state-of-the-art 200-meter rubberized track."
Fort to Fort Runs,03/29/20,Rome,New York,running,5km,https://runsignup.com/Race/Register/?raceId=27438,,To benefit the The Rome Historical Society
Fort to Fort Runs,03/29/20,Rome,New York,running,10km,https://runsignup.com/Race/Register/?raceId=27438,,To benefit the The Rome Historical Society
Fort to Fort Runs,03/29/20,Rome,New York,running,Kids Run,https://runsignup.com/Race/Register/?raceId=27438,,To benefit the The Rome Historical Society
Mudders and Grunters,03/29/20,Yorktown Heights,New York,running,5mi,https://runsignup.com/mudders,nj914@aol.com,
New York Colon Cancer Challenge,03/29/20,New York,New York,running,5km,https://p2p.onecause.com/coloncancerchallenge2020,info@coloncancerchallenge.org,2020 marks the 17th Anniversary of the Colon Cancer Challenge and we are thrilled to be returning to Icahn Stadium on Randall’s Island
New York Colon Cancer Challenge,03/29/20,New York,New York,running,Kids Run,https://p2p.onecause.com/coloncancerchallenge2020,info@coloncancerchallenge.org,2020 marks the 17th Anniversary of the Colon Cancer Challenge and we are thrilled to be returning to Icahn Stadium on Randall’s Island
City Running Tours - America's Roots Running Tour,03/31/20,New York,New York,running,4.5mi,https://www.active.com/new-york-ny/running/distance-running/city-running-tours-america-s-roots-running-tour-2020-60438307?cdg=affiliate-254301&cmp=39N-DP260-BND10-SD230-DM20&ltclickid=12_48300226_60822199-34b8-4eb5-bd52-83a555bdab90&ltcmp=254301&afid=156210,runners@cityrunningtours.com,"Explore the roots of America through events that occurred in New York City from the time the city was an early Dutch Settlement, through British Rule, Revolution and the birth of a new Nation. You will see how immigration influenced and made up the very foundation of the city"
Sloppy Fools 4-Mile Trail Run,04/01/20,Honeoye Falls,New York,running,4mi,https://runsignup.com/Race/Register/?raceId=53880,,"The Sloppy Fools 4-Mile Trail Run benefits the Monroe Community College Foundation to support MCC’s Healthy Hero Summer Camp. The Healthy Hero Summer Camp offers academic, professional, and physical development for city school students."
April Fool's Race,04/04/20,Salem,New York,running,10km,https://www.aprilfoolsrace.com/,drswhf@yahoo.com,
April Fool's Race,04/04/20,Salem,New York,running,5km,https://www.aprilfoolsrace.com/,drswhf@yahoo.com,
April Fool's Race,04/04/20,Salem,New York,running,Kids Run,https://www.aprilfoolsrace.com/,drswhf@yahoo.com,
Feel the Spirit 5K,04/04/20,Cheektowaga,New York,running,5km,https://runsignup.com/Race/Register/?raceId=41515,,Bring the whole family! Post-race party for participants and guests!
Heels Up For Healing 5K,04/04/20,Penn Yan,New York,running,5km,https://runsignup.com/Race/Register/?raceId=71815,,"Soldiers & Sailors Memorial Hospital is planning our 2nd annual 5K race & walk on Saturday April 4th, 2020 as a fund raising project to go towards activities and exercise programs offered at the Homestead."
NYCRUNS Queens Half Marathon,04/04/20,Queens,New York,running,13.1mi,https://www.active.com/queens-ny/running/distance-running-races/nycruns-queens-half-marathon-and-5k-2020?afid=156210&ltcmp=254301&ltclickid=12_48315687_4be4f3b0-5e16-4136-b9e9-e16618eb2a53&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,theteam@nycruns.com,"The NYCRUNS Queens Half & 5K returns to Flushing Meadows Park. The traffic-free course winds through the park, with great views of all the World's Fair sites and of course FMP in full Spring bloom."
NYCRUNS Queens Half Marathon,04/04/20,Queens,New York,running,5km,https://www.active.com/queens-ny/running/distance-running-races/nycruns-queens-half-marathon-and-5k-2020?afid=156210&ltcmp=254301&ltclickid=12_48315687_4be4f3b0-5e16-4136-b9e9-e16618eb2a53&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,theteam@nycruns.com,"The NYCRUNS Queens Half & 5K returns to Flushing Meadows Park. The traffic-free course winds through the park, with great views of all the World's Fair sites and of course FMP in full Spring bloom."
Retro Run 5K,04/04/20,Binghamton,New York,running,5km,https://runsignup.com/Race/Register/?raceId=83687&eventId=361839,,"The Retro Run 5k will be the second race in the 2020 Empire Road Race Series schedule.  The Empire Road Race Series is a collection of races, the more you run in the Series, the more FREE swag you earn (swag: tech shirts, sweatshirts, running hats, etc.) at the End of Series Party."
Spartan Stadion - Citi Field,04/04/20,New York,New York,running,5K with 20 obstacles,https://www.spartan.com/en/race/detail/6110/overview?filter=stadion&index=0,,"The Stadion was an ancient Greek running event and a historic, original Olympic game. It gots its name from the storied stadium it took place in. Now, we're letting you compete in the legendary stadiums of today and add to their history."
Spartan Stadion - Citi Field,04/04/20,New York,New York,running,Kids Race,https://www.spartan.com/en/race/detail/6110/overview?filter=stadion&index=0,,"The Stadion was an ancient Greek running event and a historic, original Olympic game. It gots its name from the storied stadium it took place in. Now, we're letting you compete in the legendary stadiums of today and add to their history."
The Arc Grand Prix at Watkins Glen International,04/04/20,Watkins Glen,New York,running,3.4mi,https://raceroster.com/events/2020/27113/the-arc-grand-prix-run-at-watkins-glen-international,GoetschiusML@arcofschuyler.org,"The Arc Grand Prix Run at Watkins Glen International is a 3.4 mile footrace on the internationally acclaimed motor racing track in Watkins Glen, New York in the heart of the Finger Lakes region. The event includes a 1-mile ""Pit Road Walk"" for those who would prefer to walk a shorter distance."
Boomer’s Cystic Fibrosis Run to Breathe 4M,04/05/20,New York,New York,running,4mi,https://www.nyrr.org/races/boomer39scysticfibrosisruntobreathe4mbroughttoyoubyunitedhealthcare,help@nyrr.org,"Join Team Boomer for the tenth-annual Run to Breathe and help them win the fight against cystic fibrosis, a genetic disease that attacks the lungs. Team Boomer works to encourage people with cystic fibrosis to live active, healthy lifestyles, and welcomes any athlete to join the team to raise funds and awareness for the cause."
Daniel Beer Memorial 5K,04/05/20,Valley Cottage,New York,running,5km,https://runsignup.com/Race/Register/?raceId=58245,darbelieves@gmail.com,"Daniel Beer passed suddenly July 10th, six days following his 11th birthday. We want to keep Daniel's smile bright. This family friendly 5K event was created to build community, embrace the Beer Family and all who loved Daniel and to support The Daniel Beer Foundation."
Healthy Kids Running Series - Bronx,04/05/20,Bronx,New York,running,Kids Run,https://runsignup.com/Race/Register/?raceId=23164,hkrsbronx@gmail.com,"The Healthy Kids Running Series is a five (5) week running program in the spring and fall for kids from Pre-K through 8th grade. Each HKRS Series takes place once a week and offers age appropriate running events including the 50 & 75 yard dashes, the 1/4 mile, the 1/2 mile and the one mile run."
Paumanok Pursuit 70K Trail Run & Relay,04/05/20,Rocky Point,New York,running,70K trail run,https://events.elitefeats.com/2019-2020-jayasports-trail-series,dgatz@optonline.net,"The Paumanok Pursuit is a 70K trail run along the Paumanok Path. Starting at the western trail head on Route 25A in Rocky Point, NY and ending at Sears Bellows County Park in Hampton Bays, NY. The race is open to individual entrants as well as relay teams of 2 to 5 runners."
Paumanok Pursuit 70K Trail Run & Relay,04/05/20,Rocky Point,New York,running,70K relay,https://events.elitefeats.com/2019-2020-jayasports-trail-series,dgatz@optonline.net,"The Paumanok Pursuit is a 70K trail run along the Paumanok Path. Starting at the western trail head on Route 25A in Rocky Point, NY and ending at Sears Bellows County Park in Hampton Bays, NY. The race is open to individual entrants as well as relay teams of 2 to 5 runners."
Skunk Cabbage Classic,04/05/20,Ithaca,New York,running,13.1mi,https://runsignup.com/Race/Register/?raceId=26926,ak235@cornell.edu,"This year marks the 39th consecutive running of one of Ithaca’s oldest and largest road races, with your choice between USATF-certified 10K and half-marathon distances. Join 1,000 other runners along Ellis Hollow’s scenic countryside as the skunk cabbages start to emerge in early spring!"
Skunk Cabbage Classic,04/05/20,Ithaca,New York,running,10km,https://runsignup.com/Race/Register/?raceId=26926,ak235@cornell.edu,"This year marks the 39th consecutive running of one of Ithaca’s oldest and largest road races, with your choice between USATF-certified 10K and half-marathon distances. Join 1,000 other runners along Ellis Hollow’s scenic countryside as the skunk cabbages start to emerge in early spring!"
Fleet Feet Dirt Cheap Trail Series Race - #1,04/08/20,Mendon,New York,running,5 mile trail run,https://runsignup.com/Race/NY/Rochester/DirtCheapTrailSeries,,"Join us for this super-cool, mid-week, low-key fun trail race series at different parks around Monroe County. There are 5 races offered from April-August. You can register for each race separately, or commit to the entire series. All of the races will have a wave start, with the first wave in each of the first five races being at 6:30pm."
Breakneck Point Trail Runs,04/11/20,Cold Spring,New York,running,26.2mi,https://ultrasignup.com/register.aspx?did=61946,,"What you'll get is a beautiful course with a degree of challenge that rivals any. With registration you'll get the race including aid stations, post-race food from Fitnell Farms, a custom event beanie, and a finisher's item which most likely will be a Specialized Purist bottle."
Breakneck Point Trail Runs,04/11/20,Cold Spring,New York,running,13.1mi,https://ultrasignup.com/register.aspx?did=61946,,"What you'll get is a beautiful course with a degree of challenge that rivals any. With registration you'll get the race including aid stations, post-race food from Fitnell Farms, a custom event beanie, and a finisher's item which most likely will be a Specialized Purist bottle."
Doug Wood Memorial 5K,04/11/20,Northport,New York,running,5K trail,https://runsignup.com/Race/NY/Northport/DougWood2015TrailRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"An established spring running event and part of the Northport Triple Crown Series, the Doug Wood Trail Run (Featured in Newsday as one of 5 “Must Run” Events (Excerpts below). is a XC Trail Running race in memory of Dr. Douglas Wood, a local psychiatrist, sportsman, and friend."
Dyngus Day Dash,04/13/20,Buffalo,New York,running,1 mile relay,https://runsignup.com/Race/Register/?raceId=73602,dyngusdayusa@yahoo.com,"This is a 2 person, 1 mile (.5 mile each) relay event held on the Houghton Park track. Creative team names and costumes encouraged!"
Columbia & New York-Presbyterian Indoor Marathon,04/16/20,New York,New York,running,26.2mi,https://register.chronotrack.com/r/53963,arobison@armorytrack.com,"Grab your colleagues or friends, and conquer the hallowed marathon distance together. Run one mile, four, or more - to help your team reach 26.2 miles as a group. Our participation has steadily grown over the past four years, and we are expecting more than 100 corporate, club, and family teams to take part."
Columbia & New York-Presbyterian Indoor Marathon,04/17/20,New York,New York,running,26.2mi,https://register.chronotrack.com/r/53963,arobison@armorytrack.com,"Grab your colleagues or friends, and conquer the hallowed marathon distance together. Run one mile, four, or more - to help your team reach 26.2 miles as a group. Our participation has steadily grown over the past four years, and we are expecting more than 100 corporate, club, and family teams to take part."
Bridge 2 Bridge Run,04/18/20,High Falls,New York,running,5mi,https://www.mohonkpreserve.org/events/rock-and-snow-bridge-2-bridge-run.html,,"The annual Rock and Snow ""Bridge 2 Bridge"" Five Mile Run is hosted by the Shawangunk Runners and all the proceeds will benefit Mohonk Preserve and its mission of protecting the beautiful Shawangunk Mountains region and promoting a wider understanding of the environment and its role in our lives"
Columbia & New York-Presbyterian Indoor Marathon,04/18/20,New York,New York,running,26.2mi,https://register.chronotrack.com/r/53963,arobison@armorytrack.com,"Grab your colleagues or friends, and conquer the hallowed marathon distance together. Run one mile, four, or more - to help your team reach 26.2 miles as a group. Our participation has steadily grown over the past four years, and we are expecting more than 100 corporate, club, and family teams to take part."
Earth Day Half Marathon,04/18/20,Baldwinsville,New York,running,13.1mi,https://runsignup.com/Race/Register/?raceId=15339,,"The Earth Day Half Marathon & 5K has quickly become one of CNY’s most looked forward to springtime races! Along with some of the best swag out there, all participants get a tree to plant! Runners love the connection to the countryside setting."
Earth Day Half Marathon,04/18/20,Baldwinsville,New York,running,5km,https://runsignup.com/Race/Register/?raceId=15339,,"The Earth Day Half Marathon & 5K has quickly become one of CNY’s most looked forward to springtime races! Along with some of the best swag out there, all participants get a tree to plant! Runners love the connection to the countryside setting."
Good Samaritan Run/Walk,04/18/20,Liverpool,New York,running,10km,https://runsignup.com/Race/Register/?raceId=68702,goodsamaritanrun@gmail.com,The Good Samaritan Run will focus on helping those in need of affordable healthcare in our local community. Christian Health Service of Syracuse is reaching out to the CNY area in much the same way as the Good Samaritan in the Bible went out of his way to help his hurting neighbor.
Good Samaritan Run/Walk,04/18/20,Liverpool,New York,running,5km,https://runsignup.com/Race/Register/?raceId=68702,goodsamaritanrun@gmail.com,The Good Samaritan Run will focus on helping those in need of affordable healthcare in our local community. Christian Health Service of Syracuse is reaching out to the CNY area in much the same way as the Good Samaritan in the Bible went out of his way to help his hurting neighbor.
Good Samaritan Run/Walk,04/18/20,Liverpool,New York,running,Kids Run,https://runsignup.com/Race/Register/?raceId=68702,goodsamaritanrun@gmail.com,The Good Samaritan Run will focus on helping those in need of affordable healthcare in our local community. Christian Health Service of Syracuse is reaching out to the CNY area in much the same way as the Good Samaritan in the Bible went out of his way to help his hurting neighbor.
Head for the Cure 5K - Rochester,04/18/20,Rochester,New York,running,5km,https://secure.headforthecure.org/site/TR/Events/General?pg=informational&fr_id=1841&type=fr_informational&sid=1001,kevin@headforthecure.org,"Join us for the Head for the Cure 5K - Rochester as we raise funds, awareness & hope for the local brain tumor community!"
Head for the Cure 5K - Rochester,04/18/20,Rochester,New York,running,Kids Run,https://secure.headforthecure.org/site/TR/Events/General?pg=informational&fr_id=1841&type=fr_informational&sid=1001,kevin@headforthecure.org,"Join us for the Head for the Cure 5K - Rochester as we raise funds, awareness & hope for the local brain tumor community!"
Healthy Kids Running Series - Dutchess County,04/18/20,Pleasant Valley,New York,running,Kids Run,https://healthykidsrunningseries.org/race-locations/dutchess-county-ny/,hkrsdutchess@gmail.com,"The Healthy Kids Running Series is a five (5) week running program in the spring and fall for kids from Pre-K to 8th grade. Each HKRS Series takes place once a week and offers age appropriate running events including the 50 & 75 yard dashes, the 1/4 mile, the 1/2 mile and the one mile run."
Knights of Columbus Council #9602 5K,04/18/20,Central Square,New York,running,5km,https://runsignup.com/Race/Register/?raceId=81405&eventId=346570,,"Thanks to the efforts of Father Michael J. McGivney, assistant pastor of St. Mary’s Church in New Haven and some of his parishioners, the Connecticut state legislature on March 29, 1882, officially chartered the Knights of Columbus as a fraternal benefit society."
Maple Run,04/18/20,Canton,New York,running,13.1mi,https://www.webscorer.com/register?raceid=202391,​​themaplerun@gmail.com,"You're going to train all winter for a half marathon or 5K in Spring- you deserve some kudos and great gear. Our finisher medals are custom designed for The Maple Run (half marathon participants only), and each entrant receives a crew neck sweatshirt and local maple syrup for their toils."
Maple Run,04/18/20,Canton,New York,running,5km,https://www.webscorer.com/register?raceid=202391,​​themaplerun@gmail.com,"You're going to train all winter for a half marathon or 5K in Spring- you deserve some kudos and great gear. Our finisher medals are custom designed for The Maple Run (half marathon participants only), and each entrant receives a crew neck sweatshirt and local maple syrup for their toils."
Muddy Sneaker 20K Trail Run,04/18/20,Italy,New York,running,20K trail,https://ultrasignup.com/register.aspx?did=72661,,"We are changing our approach to race shirts this year. Starting with the 2020 Muddy Sneaker (and our other trail races this year), you will NOT receive a race shirt as part of your registration fee."
