Name,Date,Location/City,State,Category,Distance,Swim Distance,Bike Distance,Run Distance,Website/Reg Link,Contact Email,Summary,
IRONMAN 70.3 SUPERFROG,09/20/2020,Imperial Beach,California,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-superfrog,superfrog70.3@ironman.om,Be Part of Triathlon’s Rich History,
IRONMAN Portugal-Cascais,09/26/2020,Cascais,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-cascais,cascais@ironman.com,Authentic Portuguese coastal charm,
IRONMAN 70.3 Portugal-Cascais,09/27/2020,Cascais,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-cascais,cascais70.3@ironman.com,Vibrant and vivacious Portuguese coast,
IRONMAN 70.3 Augusta,09/27/2020,Augusta,Georgia,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-augusta,augusta70.3@ironman.com,A Speedy Swim to Start Race Day,
IRONMAN 70.3 Cozumel,09/27/2020,Cozumel,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-cozumel,Cozumel70.3@Ironman.com,A Beautiful Clear Water Swim,
IRONMAN 70.3 Western Sydney,09/27/2020,Penrith,New South Wales,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-western-sydney,WesternSydney@ironman.com,Explore amazing Sydney,
IRONMAN Chattanooga,09/27/2020,Chattanooga,Tennessee,Triathlon,IM,2.4 mi,116 mi,26.2 mi,https://www.ironman.com/im-chattanooga,chattanooga@ironman.com,America’s Best First-Timer Course,
5150 Cervia,09/20/2020,Emilia Romagna,,Triathlon,Olympic,1.5 km,39 km,10 km,https://www.ironman.com/5150-cervia,cervia@5150.com,Discover the Romagna Coast,
IRONMAN 70.3 Memphis,10/03/2020,Memphis,Tennessee,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-memphis,,Rhythm & Blues,
IRONMAN 70.3 Lanzarote,10/03/2020,Lanzarote,Canary Islands,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-lanzarote?_ga=2.4947187.136374545.1576035709-1001469344.1575427030,lanzarote@ironman.com,For Tough Course Lovers,
IRONMAN Barcelona,10/04/2020,Callela,,Triathlon,IM,3.8 km,180.2 km,42.2 km,https://www.ironman.com/im-barcelona,barcelona@ironman.com,Late Summer Sunshine in Sensational Spain,
IRONMAN World Championship,10/10/2020,Kona,,Triathlon,IM,3.86 km,180.2 km,42.2 km,https://www.ironman.com/im-world-championship,,2020 Volunteers,
IRONMAN Louisville,10/11/2020,Louisville,Kentucky,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-louisville,louisville@ironman.com,Electrifying Finish,
IRONMAN 70.3 North Carolina,10/17/2020,Wilmington,North Carolina,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-north-carolina,northcarolina70.3@ironman.com,From Beach to Battleship,
IRONMAN 70.3 Shanghai-Chongming,10/18/2020,Chongming,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-shanghai,shanghai70.3@ironman.com,IRONMAN 70.3 Shanghai-Chongming,
IRONMAN 70.3 Waco,10/18/2020,Waco,Texas,Triathlon,HIM,1.2 mi,56 mi,13.1 km,https://www.ironman.com/im703-waco,waco70.3@ironman.com,The Heart of Texas,
5150 Ekurhuleni,10/18/2020,Ekurhuleni,Gauteng,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-ekurhuleni,ekurhuleni@5150.com,Showdown in the Aviation Showground,
IRONMAN 70.3 Marrakech,10/25/2020,Marrakech,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-marrakech,marrakech70.3@ironman.com,"Secrets of ""the ocher city""",
5150 Subic Bay,10/25/2020,Subic Bay ,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-subic-bay-philippines,blackarrowexpress@5150philippines.com,5150 Subic Bay Philippines,
IRONMAN 70.3 Turkey,11/01/2020,Belek,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-turkey,turkey70.3@ironman.com,Turkish Hospitality Beckons,
IRONMAN 70.3 Los Cabos,11/01/2020,Los Cabos ,,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-los-cabos,LosCabos70.3@Ironman.com,Desert Baja,
IRONMAN 70.3 Buenos Aires,11/01/2020,Buenos Aires,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-buenos-aires,BuenosAires70.3@ironman.com,IRONMAN 70.3 Buenos Aires,
IRONMAN Florida,11/07/2020,Panama City Beach,Florida,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-florida,florida@ironman.com,20 Years of Tradition,
IRONMAN 70.3 Xiamen,11/08/2020,Xiamen,Fujian,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-xiamen?_ga=2.218196185.136374545.1576035709-1001469344.1575427030,xiamen70.3@ironman.com,"Xiamen, the ""Garden of the Sea,"" is a modern port city and a prestigious tourist destination located on the southeast coast of China.",
IRONMAN 70.3 Melbourne,11/15/2020,St. Kilda,Victoria,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-melbourne,melbourne@ironman.com,Get ready... It's coming!,
IRONMAN 70.3 Fortaleza,11/22/2020,Fortaleza,,Triathlon,HIM,1.9 km,90.1 km,21.1 km,https://www.ironman.com/im703-fortaleza,fortaleza70.3@ironman.com,A Tropical Paradise,
5150 Nelson Mandela Bay,11/22/2020,Nelson Mandela Bay,Port Elizabeth,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-nelson-mandela-bay?_ga=2.175784034.136374545.1576035709-1001469344.1575427030,NMB@5150.com,Africa's Wondrous Watersport Capital,
IRONMAN Arizona,11/22/2020,Tempe,Arizona,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-arizona,arizona@ironman.com,The Darling of the Southwest,
IRONMAN Cozumel,11/22/2020,Cozumel,,Triathlon,IM,2.4 mi,112 mi,26.2 mi,https://www.ironman.com/im-cozumel,Cozumel@Ironman.com,A Late-Season Destination Race in Paradise,
IRONMAN 70.3 World Championship,11/28/2020,Taupo,,Triathlon,HIM,,,,https://www.ironman.com/im703-world-championship,worldchampionship70.3@ironman.com,"Great Lake Taupō, New Zealand",coming soon
IRONMAN 70.3 World Championship,11/29/2020,Taupo,,Triathlon,HIM,,,,https://www.ironman.com/im703-world-championship,worldchampionship70.3@ironman.com,"Great Lake Taupō, New Zealand",
IRONMAN 70.3 Western Australia,12/06/2020,Busselton ,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-western-australia,WesternAustralia@ironman.com,"A fast, flat course in the scenic town of Busselton",
IRONMAN Western Australia,12/06/2020,Busselton ,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-western-australia,WesternAustralia@ironman.com,Busso - your fastest road to Kona,
IRONMAN Cartagena 70.3,12/06/2020,,Cartagena,Triathlon,HIM,1.9 km,90 km,21 km,https://www.ironman.com/im703-cartagena?_ga=2.187789288.136374545.1576035709-1001469344.1575427030,Cartagena70.3@ironman.com,Colombia's Colonial Fairy-Tale,
IRONMAN 70.3 Indian Wells-La Quinta,12/06/2020,Indian Wells,California,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-indian-wells?_ga=2.214592471.136374545.1576035709-1001469344.1575427030,indianwellslaquinta70.3@ironman.com,An Unforgettable Year-End Finale,
IRONMAN 70.3 Middle East Championship Bahrain,TBD,,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-bahrain,bahrain70.3@ironman.com,A celebration of the Middle East,
IRONMAN 70.3 Goa,TBD,Goa,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://ironman.com/im703-goa,,India's Premier Triathlon,
IRONMAN 70.3 Japan ,TBD,Centrair Tokoname,,Triathlon,HIM,,,,https://www.ironman.com/im703-japan?_ga=2.15821686.136374545.1576035709-1001469344.1575427030,,Spacious and Scenic,coming soon
IRONMAN 70.3 Langkawi,TBD,Langkawi,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-langkawi?_ga=2.255345864.136374545.1576035709-1001469344.1575427030,,Mangrove Clusters and Rain Forest Vistas,
IRONMAN 70.3 Xi'an,TBD,Xi'an,,Triathlon,HIM,1.9 km,90 km,21.1 km,https://www.ironman.com/im703-xian?_ga=2.246581828.136374545.1576035709-1001469344.1575427030,xian70.3@ironman.com,"One of the oldest cities in China, home to the Terracotta Army of Emperor Qin Shi Huang.",
IRONMAN 70.3 Coquimbo,TBD,,Coquimbo,Triathlon,HIM,1.9 km,90 km,21 km,https://www.ironman.com/im703-coquimbo?_ga=2.239820995.136374545.1576035709-1001469344.1575427030,coquimbo70.3@ironman.com,Mythical Chile,
IRONMAN Gurye,TBD,Gurye,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-gurye?_ga=2.176236773.136374545.1576035709-1001469344.1575427030,,Mountains and Rice Fields,
IRONMAN Malaysia,TBD,Langkawi,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-malaysia?_ga=2.147489783.136374545.1576035709-1001469344.1575427030,,Kampungs and Rainforest Vistas,
IRONMAN ARGENTINA (South America Championship),TBD,Mar Del Plata,,Triathlon,IM,3.8 km,180 km,42.2 km,https://www.ironman.com/im-argentina?_ga=2.176302181.136374545.1576035709-1001469344.1575427030,mardelplata@ironman.com,A Stunning South American Championship,
5150  Zurich,TBD,Zurich,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-zurich?_ga=2.251676873.136374545.1576035709-1001469344.1575427030,zurich.5150@ironman.com,Lavish Lakeside Look-in,
5150 Buenos Aires,TBD,Buenos Aires,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-buenos-aires?_ga=2.151153529.136374545.1576035709-1001469344.1575427030,info@eventlive.com.ar,5150 Buenos Aires Race,
5150 Cebu,TBD,Cebu,,Triathlon,Olympic,1.5 km,40 km,10 km,https://www.ironman.com/5150-cebu-philippines?_ga=2.221801688.136374545.1576035709-1001469344.1575427030,sunlife@5150philippines.com,5150 Cebu Philippines,
IRONMAN 70.3 Philippines,TBD,Lapu-Lapu,Cebu,Triathlon,HIM,1.9 km,90 km,21 km,https://www.ironman.com/im703-cebu-philippines,secretariat@ironman703phil.com,Luxurious Travel Awaits,
IRONMAN 70.3 St. George ,2021,St. George,Utah,Triathlon,HIM,1.2 mi,56 mi,13.1 mi,https://www.ironman.com/im703-st-george?_ga=2.179848164.136374545.1576035709-1001469344.1575427030,stgeorge70.3@ironman.com,"An early-season race with breathtaking American Southwest scenery and fresh, crisp spring air, this athlete-favorite is set against a red rock backdrop. Rub shoulders with the best in the sportand revel in unparalleled spectator support.",
