Name,Date,Location/City,State,Category,Distance,Website/Registration Link,Contact Email,Summary,,,
Reedsburg Vet Fest 1M,"Apr 18, 2020",Reedsburg,Wisconsin,running,1m,https://runsignup.com/Race/WI/Reedsburg/REEDSBURGVETFEST?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Please come out and join us for the 11th annual Reedsburg Vet Fest on April 18 2020, which features a 5k run/walk, 1 mile walk and a Little Beaver fun run.",,,
Run Away To the Bay,"Apr 18, 2020",Oshkosh,Wisconsin,running,55m,https://www.raceentry.com/races/run-away-to-the-bay/2020/register,events@runawayshoes.net,Run Away to the Bay is a 11-leg relay.  Teams provide their own support vehicle and can divide the race legs however they want as long as the entire distance is covered by the team.  Teams are expected to exchange runners at each of the 10 designated exchange zones on the course.,,,
Run For Your Sanity 5K,"Apr 18, 2020",Madison,Wisconsin,running,5km,https://runsignup.com/Race/WI/Madison/RunForYourSanity?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The American Medical Student Association is hosting our second annual 5K to benefit a non-profit organization. This year, the non-profit organization chosen is The Phillip H. Wang Memorial Foundation, which was created in honor of a UW-Madison student who recently passed away in 2019. ",,,
Wags for Wellness,"Apr 18, 2020",Madison,Wisconsin,running,5km,https://runsignup.com/Race/WI/Madison/WagsforWellness?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Wags for Wellness is a 5k run/walk to promote wellness among health care professionals, specifically raising awareness about the issues of depression, mental health, and suicide. Health care professionals experience severe mental illness or feelings of hopelessness at two to three times the national average, with 1 out of every 6 veterinarians considering suicide.",,,
Waukesha County Rails To Trail 5K,"Apr 18, 2020",Pewaukee,Wisconsin,running,5km,https://runsignup.com/Race/Info/WI/Pewaukee/RailsToTrail5K,,"oin Silver Circle Sports Events & Waukesha County Parks in partnership with Rails to Trails Conservancy’s National Kick-off of the season with a 5K on the ""Nag Hump"". What you have never run the Nag Hump? You are in for a treat. The race starts and finishes at the Naga-Waukee War Memorial Golf Course and uses the paved Lake Country Trail. Half of the course has a golf course view, and the other half has views of Pewaukee Lake. ",,,
Wisconsin Brewery Running Series - Third Space Brewing,"Apr 18, 2020",Milwaukee,Wisconsin,running,5km,https://www.eventbrite.com/e/beer-run-big-head-brewing-part-of-the-2019-wi-brewery-running-series-tickets-55007184971#,,"Join us at Big Head Brewing on Saturday August 24th @ 12PM for a 5k-ish course that starts and ends at this awesome brewery!! Weave through the surrounding area at whatever pace you like, no matter what there’s a beer waiting for you at the finish line!",,,
Canine Campus Crawl,"Apr 19, 2020",Madison,Wisconsin,running,2.5m,https://runsignup.com/Race/WI/Madison/CanineCampusCrawl2020?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,A 2.5 mile run/walk fundraiser sponsored by the University of Wisconsin-Madison Pre-Veterinary Association.  Come take a beautiful walk along the lakeshore path with the company of your pooch! Located at Lot 60 on UW Campus by the Hospital. Supporting Dane County Humane Society.,,,
Sweet Home Milwaukee 5K,"Apr 19, 2020",Milwaukee,Wisconsin,running,5km,https://runsignup.com/Race/WI/Milwaukee/SweetHomeMilwaukee5K?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Celebrate our beautiful city at the 7th annual Sweet Home Milwaukee 5k at Milwaukee's Lakefront on Sunday, April 19 2020.​",,,
UW Tau Beta Pi - Pi Mile Run 10K,"Apr 19, 2020",Madison,Wisconsin,running,10km,https://tbp.slc.engr.wisc.edu/events/pimilerun/registration.html,pi.mile.race@gmail.com,"Annual 5K and 10K races hosted by the UW-Madison chapter of Tau Beta Pi, the national engineering honors society. All proceeds of the race are donated to to the Occupaws Guide Dog Association! After the race you can hang out with some of the guide dogs, although bringing your own dogs is not allowed.",,,
UW Tau Beta Pi - Pi Mile Run 5K,"Apr 19, 2020",Madison,Wisconsin,running,5km,https://tbp.slc.engr.wisc.edu/events/pimilerun/registration.html,pi.mile.race@gmail.com,"Annual 5K and 10K races hosted by the UW-Madison chapter of Tau Beta Pi, the national engineering honors society. All proceeds of the race are donated to to the Occupaws Guide Dog Association! After the race you can hang out with some of the guide dogs, although bringing your own dogs is not allowed.",,,
Apple Creek 50K,"Apr 25, 2020",Appleton,Wisconsin,running,50km,https://runsignup.com/Race/WI/Appleton/AppleCreek50k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Apple Creek 50k is a four loop, 31 mile solo and relay trail race that benefits Snowdrop Foundation Wisconsin. Runners can register as a solo runner (completing four 7.7 mile loops), or as a 2-4 person relay team!",,,
Beaver Bolt 5K,"Apr 25, 2020",Augusta,Wisconsin,running,5km,https://www.augusta.k12.wi.us/schools/elementary/beaverbolt.cfm,,,No summary,,
Brew City Half Marathon 13.1M,"Apr 25, 2020",Milwaukee,Wisconsin,running,13.1m,https://runsignup.com/Race/WI/Milwaukee/BrewCityHalfMarathon10k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,,No summary,,
Brew City Half Marathon 10K,"Apr 25, 2020",Milwaukee,Wisconsin,running,10km,https://runsignup.com/Race/WI/Milwaukee/BrewCityHalfMarathon10k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,,No summary,,
Brew City Half Marathon 5K,"Apr 25, 2020",Milwaukee,Wisconsin,running,5km,https://runsignup.com/Race/WI/Milwaukee/BrewCityHalfMarathon10k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,,No summary,,
Chippewa 50K - 50K,"Apr 25, 2020",New Auburn,Wisconsin,running,50km,https://ultrasignup.com/register.aspx?did=72633,,There is abundance of small hills along both courses. Only one major uphill which is at the finish both races. I would say that there isn't much technical running with lots of rocks and roots however this isn't road running either.,,,
Chippewa 50K - 10K,"Apr 25, 2020",New Auburn,Wisconsin,running,10km,https://ultrasignup.com/register.aspx?did=72633,,There is abundance of small hills along both courses. Only one major uphill which is at the finish both races. I would say that there isn't much technical running with lots of rocks and roots however this isn't road running either.,,,
Crazylegs Classic 8K,"Apr 25, 2020",Madison,Wisconsin,running,8km,https://runsignup.com/Race/WI/Madison/UWCrazylegsClassic?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"How the run got started and history made over a couple beers...Not surprisingly, the idea was hatched over a couple of beers in late 1981 by three Badger loyalists at a campus bar.",,,
Crazylegs Classic 2M,"Apr 25, 2020",Madison,Wisconsin,running,2m,https://runsignup.com/Race/WI/Madison/UWCrazylegsClassic?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"How the run got started and history made over a couple beers...Not surprisingly, the idea was hatched over a couple of beers in late 1981 by three Badger loyalists at a campus bar.",,,
Cream City 5K - 5K,"Apr 25, 2020",West Allis,Wisconsin,running,5km,https://runsignup.com/Race/WI/Milwaukee/CreamCity5K?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us on Saturday, April 25, 2020 for the 5th Annual Cream City 5K to raise awareness and support organ, eye, and tissue donation!  Proceeds from this family friendly event will be donated to the Versiti Organ and Tissue, as well as other organizations that support organ, tissue & eye donation to help save and improve lives. ",,,
Cream City 5K - 3K,"Apr 25, 2020",West Allis,Wisconsin,running,3km,https://runsignup.com/Race/WI/Milwaukee/CreamCity5K?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us on Saturday, April 25, 2020 for the 5th Annual Cream City 5K to raise awareness and support organ, eye, and tissue donation!  Proceeds from this family friendly event will be donated to the Versiti Organ and Tissue, as well as other organizations that support organ, tissue & eye donation to help save and improve lives. ",,,
Deer Run 10K,"Apr 25, 2020",Brown Deer,Wisconsin,running,10km,https://runsignup.com/Race/WI/BrownDeer/TheDeerRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,,No summary,,
Deer Run 5K,"Apr 25, 2020",Brown Deer,Wisconsin,running,5km,https://runsignup.com/Race/WI/BrownDeer/TheDeerRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,,No summary,,
Howard Temin Lakeshore Path parkrun,"Apr 25, 2020",Madison,Wisconsin,running,5km,https://www.parkrun.us/howardteminlakeshorepath/,howardteminlakeshorepath@parkrun.com,It is a 5km run - it's you against the clock.,,,
Pine Line Marathon 26.2M,"Apr 25, 2020",Medford,Wisconsin,running,26.2m,https://runsignup.com/Race/WI/Medford/PineLineMarathon?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,medfordchamber1@gmail.com,,No summary,,
Pine Line Marathon 13.1M,"Apr 25, 2020",Medford,Wisconsin,running,13.1m,https://runsignup.com/Race/WI/Medford/PineLineMarathon?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,medfordchamber1@gmail.com,,No summary,,
Pine Line Marathon 5K,"Apr 25, 2020",Medford,Wisconsin,running,5km,https://runsignup.com/Race/WI/Medford/PineLineMarathon?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,medfordchamber1@gmail.com,,No summary,,
Run For The Love Of Music 5K,"Apr 25, 2020",Wausau,Wisconsin,running,5km,https://runsignup.com/Race/WI/Wausau/RunForTheLoveOfMusic?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,dtraeder@wausauconservatory.org,Join the Wausau Conservatory of Music as we Run For the Love of Music!,,,
Run For The Love Of Music 1K,"Apr 25, 2020",Wausau,Wisconsin,running,1km,https://runsignup.com/Race/WI/Wausau/RunForTheLoveOfMusic?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,dtraeder@wausauconservatory.org,Join the Wausau Conservatory of Music as we Run For the Love of Music!,,,
Southern Door Eagles Trail Trot,"Apr 25, 2020",Brussels,Wisconsin,running,2m,https://www.active.com/brussels-wi/running/races/southern-door-eagles-trail-trot-run-walk-2020?afid=156210&ltcmp=254301&ltclickid=03_39640952_a11e8496-5a36-44bd-b17b-6f7d31184384&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,Please join Southern Door Elementary P.I.E. for a great community wide event. All proceeds will benefit the students at Southern Door Schools,,,
Sprint for Spring 5K,"Apr 25, 2020",Lake Geneva,Wisconsin,running,5km,https://events.r20.constantcontact.com/register/eventReg?oeidk=a07egxwrrjxb38a7cf1&oseq=&c=&ch=,,"Bring in warmer weather with our Fourth Annual Sprint for Spring 5K Run/Walk at the Geneva Lakes Family YMCA! This “chip timed” race is the perfect run/walk to prepare yourself for future runs, to keep yourself in shape or simply have some fun! Immediately following this 5K Run/Walk is a FREE kids run for ages 10 and under. Register below.",,,
St. Jerome Spring Fling,"Apr 25, 2020",Oconomowoc,Wisconsin,running,5km,https://runsignup.com/Race/Info/WI/Oconomowoc/StJeromeSpringFling,,Come out and meet your fellow congregation and/or community members for a wonderful Saturday morning run! This second annual St. Jerome's Spring Fling Fun Run and it is sure to be a blast!,,,
Sturgeon Shuffle 5K,"Apr 25, 2020",New London,Wisconsin,running,5km,https://runsignup.com/Race/WI/NewLondon/sturgeonshuffle?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,sturgeonshuffle@bankfirststate.com,Join us in celebrating the 10th year of the Sturgeon Shuffle! We are especially excited that both the 5K and 10K courses return to their origin on County Highway X just west of New London which will be closed to traffic during our events. ,,,
Sturgeon Shuffle 10K,"Apr 25, 2020",New London,Wisconsin,running,10km,https://runsignup.com/Race/WI/NewLondon/sturgeonshuffle?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,sturgeonshuffle@bankfirststate.com,Join us in celebrating the 10th year of the Sturgeon Shuffle! We are especially excited that both the 5K and 10K courses return to their origin on County Highway X just west of New London which will be closed to traffic during our events. ,,,
Bear Trax 5K,"Apr 26, 2020",Delafield,Wisconsin,running,5km,https://runsignup.com/Race/WI/Delafield/BearTraxandBrownieShuffle?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The BearTrax and Brownie Shuffle was started in 2009 as a way to honor a dear friend, Nancy Sellars, who was killed by a drunk driver while riding her bike. The race not only brought people to the trails she loved at Lapham Peak, but also raised money for a fund established in her name. ",,,
Bear Trax 10K,"Apr 26, 2020",Delafield,Wisconsin,running,10km,https://runsignup.com/Race/WI/Delafield/BearTraxandBrownieShuffle?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The BearTrax and Brownie Shuffle was started in 2009 as a way to honor a dear friend, Nancy Sellars, who was killed by a drunk driver while riding her bike. The race not only brought people to the trails she loved at Lapham Peak, but also raised money for a fund established in her name. ",,,
Bear Trax 20K,"Apr 26, 2020",Delafield,Wisconsin,running,20km,https://runsignup.com/Race/WI/Delafield/BearTraxandBrownieShuffle?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The BearTrax and Brownie Shuffle was started in 2009 as a way to honor a dear friend, Nancy Sellars, who was killed by a drunk driver while riding her bike. The race not only brought people to the trails she loved at Lapham Peak, but also raised money for a fund established in her name. ",,,
Oshkosh Half Marathon 13.1M,"Apr 26, 2020",Oshkosh,Wisconsin,running,13.1m,https://www.active.com/oshkosh-wi/running/distance-running-races/oshkosh-half-marathon-relay-and-5k-2020?afid=156210&ltcmp=254301&ltclickid=03_39646349_2d3e98b5-9add-41e6-b49b-004821e51d1c&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"Catch “Spring Fever” during the 14th Annual Oshkosh Marathon, Half Marathon and 5K Run/Walk, which offers scenic diversity from the historic homes to the river. ",,,
Oshkosh Half Marathon 5K,"Apr 26, 2020",Oshkosh,Wisconsin,running,5km,https://www.active.com/oshkosh-wi/running/distance-running-races/oshkosh-half-marathon-relay-and-5k-2020?afid=156210&ltcmp=254301&ltclickid=03_39646349_2d3e98b5-9add-41e6-b49b-004821e51d1c&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"Catch “Spring Fever” during the 14th Annual Oshkosh Marathon, Half Marathon and 5K Run/Walk, which offers scenic diversity from the historic homes to the river. ",,,
Run 4 Water MKE,"Apr 26, 2020",Milwaukee,Wisconsin,running,5km,https://runsignup.com/Race/Register/?raceId=2677#register,run4watermke@gmail.com,The Run 4 Water MKE is a 5K run / walk around beautiful Veteran's Park on Milwaukee's lakefront. All proceeds from the event go to the UW-Milwaukee chapter of Engineers Without Borders to build projects in rural Guatemala bringing potable water to communities that lack access to it. Join us to Run 4 Water so they don't have to!,,,
Run for the Hills 5K,"Apr 26, 2020",Brookfield,Wisconsin,running,5km,https://secure.getmeregistered.com/get_information.php?event_id=133941,wisconsinhillspto@gmail.com,,No summary,,
Run for the Hills 2M,"Apr 26, 2020",Brookfield,Wisconsin,running,2m,https://secure.getmeregistered.com/get_information.php?event_id=133941,wisconsinhillspto@gmail.com,,No summary,,
Autism Awareness 5K,"May 2, 2020",West Bend,Wisconsin,running,5km,https://www.active.com/west-bend-wi/running/distance-running-races/6th-annual-autism-awareness-5k-run-walk-2020?afid=156210&ltcmp=254301&ltclickid=03_39651402_0cd6bc91-6204-463c-a34f-3c5fa1f38846&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"Please join us for our annual autism awareness 5k. It is a day of celebration... A celebration of the greatness of autism! In addition to our 5k, we offer many FREE activities for the whole family!",,,
Bulldog Stomp 5K - 3K,"May 2, 2020",Pardeeville,Wisconsin,running,3km,https://www.active.com/pardeeville-wi/running/distance-running-races/bulldog-stomp-2020?afid=156210&ltcmp=254301&ltclickid=03_39651923_786071f6-dc84-47ff-bac7-b3d6f7e467de&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"Now going into our 12th year, our commitment is stronger than ever.  Many of us have had friends & loved ones affected by this terrible disease.  The strength & courage they show in their daily fight is inspirational. ",,,
Bulldog Stomp 5K - 5K,"May 2, 2020",Pardeeville,Wisconsin,running,5km,https://www.active.com/pardeeville-wi/running/distance-running-races/bulldog-stomp-2020?afid=156210&ltcmp=254301&ltclickid=03_39651923_786071f6-dc84-47ff-bac7-b3d6f7e467de&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"Now going into our 12th year, our commitment is stronger than ever.  Many of us have had friends & loved ones affected by this terrible disease.  The strength & courage they show in their daily fight is inspirational. ",,,
DeFo Dash 1K,"May 2, 2020",DeForest,Wisconsin,running,1km,https://damspto.wixsite.com/defodash,damspto@gmail.com,"In an effort to promote a healthy lifestyle for our youth and host a fundraiser without having our kids selling products, the DeForest Area Middle School Parent Teacher Organization (DAMS PTO) will be hosting the 4th Annual DeFo Dash on Saturday, May 2, 2020 at 9 AM.  This will be a 5K or 1 Mile Run / Walk, open to the community. We are excited to ask for your support of our community event.",,,
DeFo Dash 5K,"May 2, 2020",DeForest,Wisconsin,running,5km,https://damspto.wixsite.com/defodash,damspto@gmail.com,"In an effort to promote a healthy lifestyle for our youth and host a fundraiser without having our kids selling products, the DeForest Area Middle School Parent Teacher Organization (DAMS PTO) will be hosting the 4th Annual DeFo Dash on Saturday, May 2, 2020 at 9 AM.  This will be a 5K or 1 Mile Run / Walk, open to the community. We are excited to ask for your support of our community event.",,,
Donald Dash Trail Run 5K,"May 2, 2020",Mt. Horeb,Wisconsin,running,5km,https://secure.athenstoatlantis.com/Register/index.php?sessionID=2d351df65511c3001117ed9a7d6f3a55e903adc81dd343ded55603c5a6283a09f6eb66bfc7ad28174c97b9bb325aec23394900f61ba760f6cd46761f62270fd3&registerOption=12,donalddashtrailrun@gmail.com,"An annual trail run held in Donald Park located in Mt. Horeb, WI. This year the distances will be 5km and 15km, but not missing any of the usual fun and challenging course terrain (prairie, sand, hills, and more--see course info)!",,,
Donald Dash Trail Run 15K,"May 2, 2020",Mt. Horeb,Wisconsin,running,15km,https://secure.athenstoatlantis.com/Register/index.php?sessionID=2d351df65511c3001117ed9a7d6f3a55e903adc81dd343ded55603c5a6283a09f6eb66bfc7ad28174c97b9bb325aec23394900f61ba760f6cd46761f62270fd3&registerOption=12,donalddashtrailrun@gmail.com,"An annual trail run held in Donald Park located in Mt. Horeb, WI. This year the distances will be 5km and 15km, but not missing any of the usual fun and challenging course terrain (prairie, sand, hills, and more--see course info)!",,,
Door County Half Marathon & Nicolet Bay 5K - 13.1M,"May 2, 2020",Fish Creek,Wisconsin,running,13.1m,https://raceroster.com/events/2020/26617/door-county-half-marathon,jordan@peninsulapacers.com,"The Door County Half Marathon and Nicolet Bay 5k returns to Peninsula State Park May 2, 2020.",,,
Door County Half Marathon & Nicolet Bay 5K - 5K,"May 2, 2020",Fish Creek,Wisconsin,running,5km,https://raceroster.com/events/2020/26617/door-county-half-marathon,jordan@peninsulapacers.com,"The Door County Half Marathon and Nicolet Bay 5k returns to Peninsula State Park May 2, 2020.",,,
EFW Rush for Education 5K,"May 2, 2020",Wauwatosa,Wisconsin,running,5km,https://runsignup.com/Race/WI/Wauwatosa/RushforEducation?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The Rush for Education is an event of the Education Foundation of Wauwatosa. It is formerly known as the EFW Walk/Run. This year, we will again feature a competitive 5K run and a fun one-mile walk/run.",,,
EFW Rush for Education 1M,"May 2, 2020",Wauwatosa,Wisconsin,running,1m,https://runsignup.com/Race/WI/Wauwatosa/RushforEducation?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The Rush for Education is an event of the Education Foundation of Wauwatosa. It is formerly known as the EFW Walk/Run. This year, we will again feature a competitive 5K run and a fun one-mile walk/run.",,,
First National Bank of River Falls 5K,"May 2, 2020",River Falls,Wisconsin,running,5km,https://runsignup.com/Race/WI/RiverFalls/FNBRF5K?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,Join us for our 11th Annual  FNBRF 5K All race proceeds go towards purchasing tennis shoes for local kids in need!,,,
Healthy Kids Day 5K,"May 2, 2020",Monroe,Wisconsin,running,5km,https://runsignup.com/Race/WI/Monroe/CelticRunBeforeYouCrawl5k10kKidsFunRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,This year's Kids Fun Run will take place at 11:00 am in conjunction with our annual Healthy Kids Day celebration. ,,,
Healthy Kids Day 10K,"May 2, 2020",Monroe,Wisconsin,running,10km,https://runsignup.com/Race/WI/Monroe/CelticRunBeforeYouCrawl5k10kKidsFunRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,This year's Kids Fun Run will take place at 11:00 am in conjunction with our annual Healthy Kids Day celebration. ,,,
Howard Temin Lakeshore Path parkrun,"May 2, 2020",Madison,Wisconsin,running,5km,https://www.parkrun.us/howardteminlakeshorepath/,howardteminlakeshorepath@parkrun.com,It is a 5km run - it's you against the clock.,,,
Iola Trail Run 15K,"May 2, 2020",Iola,Wisconsin,running,15km,https://www.active.com/iola-wi/running/trail-run/iola-trail-run-2020?afid=156210&ltcmp=254301&ltclickid=03_39660896_4b3f0342-d2d5-4c86-94f9-63112a6f61db&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"This much loved spring trail run is held on the fabled cross country ski trails of the Iola Winter Sports Club in north central Wisconsin.   The event is organized by Great Lakes Endurance, well known for its ecologically mindful trail running events.  Race shirts are made from 100% recycled fibers.  ",,,
Iola Trail Run 5K,"May 2, 2020",Iola,Wisconsin,running,5km,https://www.active.com/iola-wi/running/trail-run/iola-trail-run-2020?afid=156210&ltcmp=254301&ltclickid=03_39660896_4b3f0342-d2d5-4c86-94f9-63112a6f61db&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"This much loved spring trail run is held on the fabled cross country ski trails of the Iola Winter Sports Club in north central Wisconsin.   The event is organized by Great Lakes Endurance, well known for its ecologically mindful trail running events.  Race shirts are made from 100% recycled fibers.  ",,,
Iola Trail Run 2K,"May 2, 2020",Iola,Wisconsin,running,2km,https://www.active.com/iola-wi/running/trail-run/iola-trail-run-2020?afid=156210&ltcmp=254301&ltclickid=03_39660896_4b3f0342-d2d5-4c86-94f9-63112a6f61db&cmp=39N-DP260-BND10-SD230-DM20&cdg=affiliate-254301,,"This much loved spring trail run is held on the fabled cross country ski trails of the Iola Winter Sports Club in north central Wisconsin.   The event is organized by Great Lakes Endurance, well known for its ecologically mindful trail running events.  Race shirts are made from 100% recycled fibers.  ",,,
Jigsaw Run,"May 2, 2020",Wisconsin Rapids,Wisconsin,running,6km,https://runsignup.com/Race/WI/WisconsinRapids/JIGSAWRUN?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,JIGSAW RUN 2020 Competitive Fun Run to Benefit Camp AweSum.,,,
Kettle Moraine School District - Run for Education,"May 2, 2020",Wales,Wisconsin,running,5km,https://runsignup.com/Race/WI/Wales/KettleMoraineSchoolDistrictRunforEducation?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,run@keybenefits.com,,No summary,,
Lake Monona 20K Run and 5K - 20K,"May 2, 2020",Monona,Wisconsin,running,20km,https://runsignup.com/Race/WI/Monona/LakeMonona20KRunand5KRunWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The Lake Monona 20K Run and 5K Run/Walk presented by SSM Health, taking place on Saturday, May 2nd, 2020, offers a beautiful course with springtime temperatures ideal for running, and combines small-race feel with big-race perks. ",,,
Lake Monona 20K Run and 5K - 5K,"May 2, 2020",Monona,Wisconsin,running,5km,https://runsignup.com/Race/WI/Monona/LakeMonona20KRunand5KRunWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The Lake Monona 20K Run and 5K Run/Walk presented by SSM Health, taking place on Saturday, May 2nd, 2020, offers a beautiful course with springtime temperatures ideal for running, and combines small-race feel with big-race perks. ",,,
Lewis Drobnick Memorial Fox Trot,"May 2, 2020",Omro,Wisconsin,running,5km,http://www.futureomro.org/lewis-drobnick--ed-goss-memorial-fox-trot-fun-run.html,shawkins@omro-wi.com,Join us Saturday May 2nd at the OASA field for the 28th Annual Lewis Drobnick & Ed Goss Memorial Fox Trot!,,,
LOVE > hate 5K,"May 2, 2020",Hartford,Wisconsin,running,5km,https://runsignup.com/Race/Info/WI/Hartford/Lovehate5kRunWalk,,The LOVE>hate Project 5th annual 5k run/walk. Join us in ENDING male on female violence and Inspiring Love over hate.,,,
Marinette 5K Heart Run 5K,"May 2, 2020",Marinette,Wisconsin,running,5km,https://runsignup.com/Race/WI/Marinette/BellinHeartRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us for the first annual Bellin Health Marinette 5K Heart Run/Walk, 1 mile untimed Walk, and Children's Run. The mission of Bellin Health is to help improve the health and well-being of the communities we serve. This event will be a celebration of your commitment to getting active and staying healthy!",,,
Marinette 5K Heart Run 1M,"May 2, 2020",Marinette,Wisconsin,running,1m,https://runsignup.com/Race/WI/Marinette/BellinHeartRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"Join us for the first annual Bellin Health Marinette 5K Heart Run/Walk, 1 mile untimed Walk, and Children's Run. The mission of Bellin Health is to help improve the health and well-being of the communities we serve. This event will be a celebration of your commitment to getting active and staying healthy!",,,
NAMI Oshkosh 5K for Mental Health and Suicide Awareness,"May 2, 2020",Oshkosh,Wisconsin,running,5km,https://runsignup.com/Race/WI/Oshkosh/Oshkosh5KforMentalHealthSuicideAwareness?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"The Oshkosh 5K for Mental Health and Suicide Awareness allows us to partner with local agencies, community organizations and businesses.   During the event, these partners are present to provide information on a number of topics, including suicide, mental health, substance abuse, domestic and sexual violence, veteran benefits, and children/teen prevention efforts.   ",,,
PurpleStride Madison,"May 2, 2020",Madison,Wisconsin,running,5km,https://secure.pancan.org/site/TR;jsessionid=00000000.app30112b?fr_id=1933&pg=entry&NONCE_TOKEN=789FB10235E7389551F8E24DD8D2B5A8,events@pancan.org,"PurpleStride walks are among the largest sources of funding for the Pancreatic Cancer Action Network. When you Wage Hope at PurpleStride, you join a vibrant community of survivors, impacted families, loved ones, researchers and advocates committed to rewriting the future of this deadly disease.",,,
Quarry View 5K/10K - 1K,"May 2, 2020",Menomonee Falls,Wisconsin,running,1km,https://runsignup.com/Race/WI/MenomoneeFalls/QuarryView5k10k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,The Quarry View 5k & 10k is truly a unique experience.  The family friendly run/walk event starts and finishes in Menomonee Park and runs along the paved Bugline trail. ,,,
Quarry View 5K/10K - 5K,"May 2, 2020",Menomonee Falls,Wisconsin,running,5km,https://runsignup.com/Race/WI/MenomoneeFalls/QuarryView5k10k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,The Quarry View 5k & 10k is truly a unique experience.  The family friendly run/walk event starts and finishes in Menomonee Park and runs along the paved Bugline trail. ,,,
Quarry View 5K/10K - 10K,"May 2, 2020",Menomonee Falls,Wisconsin,running,10km,https://runsignup.com/Race/WI/MenomoneeFalls/QuarryView5k10k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,The Quarry View 5k & 10k is truly a unique experience.  The family friendly run/walk event starts and finishes in Menomonee Park and runs along the paved Bugline trail. ,,,
RC2 - Ripon College/Ripon Community Run 13.1M,"May 2, 2020",Ripon,Wisconsin,running,13.1m,https://runsignup.com/Race/WI/Ripon/RC2CommunityRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw,,"This 5k, 10k and Half Marathon event takes place at the Vines and Rushes Winery and utilizes the beautiful Mascoutin Trail.  Our race was originally created as a partnership between the community and Ripon College. ",,,
